tcp,nFlows,seed,txPackets,rxPackets,lostPackets,retransmissions,lossRate,throughput_Mbps,delay_ms,jitter_ms
experts,3,1,101430,100965,463,37767,0.456472,3.29208,7.33011,2.72413
experts,3,2,11901,11760,135,2323,1.13436,6.88793,170.678,3.40233
experts,3,3,33764,33399,359,18663,1.06326,8.81921,42.1015,3.65633
experts,7,1,78725,78305,417,29477,0.529692,3.02248,22.158,3.5415
experts,7,2,43367,42681,667,16548,1.53804,10.5275,98.6784,4.07003
experts,7,3,57748,57015,716,28119,1.23987,7.65596,40.7573,4.71555
experts,17,1,132615,130880,1674,28558,1.2623,5.21774,29.7661,4.42437
experts,17,2,88943,87738,1184,41605,1.33119,6.11886,45.0458,5.39867
experts,17,3,121440,119689,1703,44951,1.40234,7.00796,122.122,5.73191
experts,34,1,163786,161070,2605,33296,1.59049,6.32033,60.7893,5.79114
experts,34,2,196784,194032,2687,35058,1.36546,8.57819,34.447,4.23169
experts,34,3,210936,207885,2945,27256,1.39616,6.08942,84.3453,4.70477
adaptive,3,1,80290,79933,357,41735,0.444638,4.75641,18.2838,2.96032
adaptive,3,2,11432,11338,89,2563,0.778516,4.80556,165.034,2.30235
adaptive,3,3,22732,22430,296,3898,1.30213,6.71773,61.6069,3.14709
adaptive,7,1,146740,145997,732,35042,0.498841,3.97808,57.0851,3.09004
adaptive,7,2,48141,47348,762,19704,1.58285,11.231,82.6299,3.918
adaptive,7,3,57894,57157,681,14144,1.17629,8.06727,33.7458,3.6938
adaptive,17,1,159016,157273,1662,29381,1.04518,4.40418,14.6964,4.86894
adaptive,17,2,160571,159160,1400,29108,0.871888,7.52851,24.8569,3.09398
adaptive,17,3,155429,153311,2071,31894,1.33244,10.1059,70.9796,4.15613
adaptive,34,1,179105,176943,2098,28392,1.17138,8.77337,47.4424,5.58915
adaptive,34,2,162179,158914,3189,33244,1.96635,9.41752,42.3195,5.61566
adaptive,34,3,165226,162445,2708,39367,1.63897,7.02318,84.3567,6.13554
kalman,3,1,110547,110201,338,36117,0.305752,4.90646,8.69439,2.5787
kalman,3,2,27902,27835,59,5864,0.211454,7.47938,71.3497,2.19354
kalman,3,3,37025,36591,416,21762,1.12357,8.97374,16.2225,4.10723
kalman,7,1,157896,157168,691,36902,0.43763,5.48978,32.9977,2.88916
kalman,7,2,45073,44474,576,16090,1.27793,5.30591,77.7043,3.04282
kalman,7,3,66117,65169,925,26374,1.39904,8.75102,28.28,4.33191
kalman,17,1,143743,142156,1511,31843,1.05118,3.67031,26.5426,4.78201
kalman,17,2,105209,104001,1163,14947,1.10542,4.33627,35.0918,3.41463
kalman,17,3,197600,196463,1078,17103,0.545547,10.3981,68.8811,2.81452
kalman,34,1,187195,184664,2463,27115,1.31574,10.2765,69.2946,4.79945
kalman,34,2,199012,196605,2379,26152,1.19541,10.804,32.7329,4.02089
kalman,34,3,175743,172904,2767,32122,1.57446,7.8218,101.436,6.05276
ml,3,1,95118,94817,298,34553,0.313295,4.59651,7.16147,2.89076
ml,3,2,21000,20699,39,718,0.185714,6.08575,220.565,1.44921
ml,3,3,36176,35748,416,23522,1.14993,7.23719,41.4143,4.44613
ml,7,1,129479,128951,522,36547,0.403154,3.49397,42.2295,3.00711
ml,7,2,48571,47987,559,20896,1.15089,8.41893,84.4826,3.4602
ml,7,3,65008,64091,869,33190,1.33676,6.8259,41.0607,4.60802
ml,17,1,152861,151651,1128,27559,0.737925,6.26173,15.3042,4.18783
ml,17,2,147828,146329,1477,37289,0.999134,6.17463,31.0454,3.728
ml,17,3,148190,146831,1309,31595,0.883325,8.19454,84.1342,3.55557
ml,34,1,208853,206457,2302,29142,1.10221,8.02745,45.8956,4.70792
ml,34,2,216576,213862,2657,34357,1.22682,10.5551,41.4556,4.34989
ml,34,3,170640,167661,2883,34767,1.68952,6.18328,64.9637,5.83844
plus,3,1,106430,105453,905,28237,0.850324,3.15821,72.6363,4.45607
plus,3,2,20971,20627,82,3058,0.391016,6.56557,223.847,1.83825
plus,3,3,57076,55683,1333,45648,2.33548,3.28048,38.8769,7.33335
plus,7,1,166587,164722,1802,19565,1.08172,5.5463,75.642,3.51015
plus,7,2,75740,74449,1218,25516,1.60813,8.79892,95.9065,4.42467
plus,7,3,80886,79090,1702,46808,2.1042,6.10683,41.7322,7.48158
plus,17,1,195586,193189,2215,28251,1.13249,9.51145,72.774,3.87953
plus,17,2,202228,199461,2673,38396,1.32178,9.68796,83.1981,3.75796
plus,17,3,189198,186774,2369,29407,1.25213,9.41616,110.042,4.4061
plus,34,1,248028,244698,3231,23352,1.30268,10.3211,59.6477,4.42065
plus,34,2,246970,243009,3730,17578,1.5103,12.4128,98.674,5.06655
plus,34,3,257787,253749,3896,25664,1.51133,11.9639,98.9691,4.31193
newreno,3,1,90866,89638,1199,33683,1.31953,5.27263,69.3386,3.71612
newreno,3,2,24572,24290,189,3953,0.769168,8.07585,115.09,2.1873
newreno,3,3,68337,66871,1393,65311,2.03843,4.05409,62.0619,7.4431
newreno,7,1,148924,146976,1762,26331,1.18315,4.84558,75.5399,4.08178
newreno,7,2,83125,81691,1337,21967,1.60842,8.50667,101.602,3.55657
newreno,7,3,84201,81992,2112,55167,2.50828,6.10682,52.0404,7.99188
newreno,17,1,198307,195745,2360,21718,1.19007,8.90514,86.4184,4.29669
newreno,17,2,185816,183046,2645,41758,1.42345,8.2051,87.6762,4.69584
newreno,17,3,213708,210486,3050,21193,1.42718,10.3025,130.593,3.84991
newreno,34,1,243612,239332,4106,27651,1.68547,12.7368,74.8661,5.20797
newreno,34,2,240079,235733,4165,15830,1.73485,14.7196,113.95,4.06447
newreno,34,3,250306,245405,4802,28059,1.91845,16.4719,106.065,4.69616
